Year,State,Income($),Percent_Total,Num_Households
1607,California,59935.95,57.88%,896228
1608,California,63658.64,77.65%,243284
1609,California,56293.45,76.65%,397810
1610,California,118868.31,44.62%,300742
1611,California,70209.07,99.52%,263195
1612,California,13691.54,16.60%,836792
1613,California,73423.42,91.23%,75791
1614,California,120448.50,61.32%,179175
1615,California,19280.86,37.66%,316232
1616,California,120498.93,38.18%,906751
1617,California,88024.31,3.92%,5656
1618,California,22528.95,48.42%,400772
1619,California,12048.29,74.81%,566522
1620,California,1428.31,4.97%,881706
1621,California,11579.66,87.01%,68923
1622,California,2100.73,40.84%,111441
1623,California,38412.63,13.90%,274491
1624,California,98297.04,73.87%,782210
1625,California,17171.14,4.28%,950653
1626,California,47054.95,83.51%,362904
1627,California,99371.44,7.04%,929684
1628,California,93374.32,23.59%,348417
1629,California,2592.59,2.39%,300517
1630,California,110177.33,47.62%,591297
1631,California,46224.05,53.86%,988537
1632,California,48052.83,81.15%,292852
1633,California,81715.27,9.82%,819118
1634,California,37134.58,8.67%,79638
1635,California,46697.40,17.00%,240678
1636,California,100746.41,64.21%,253604
1637,California,56085.37,53.50%,190334
1638,California,84286.60,85.05%,829556
1639,California,10469.26,8.44%,963178
1640,California,77473.82,9.78%,506369
1641,California,109062.27,40.92%,822006
1642,California,28492.24,32.05%,3801
1643,California,106889.21,88.96%,804133
1644,California,42718.20,8.09%,895873
1645,California,32325.06,95.47%,552564
1646,California,112255.17,31.35%,936364
1647,California,61445.42,49.88%,818818
1648,California,32722.81,87.61%,943563
1649,California,34337.25,78.19%,993418
1650,California,28671.73,83.36%,344540
1651,California,11713.43,99.43%,101352
1652,California,113657.05,83.51%,375513
1653,California,4057.08,54.37%,26149
1654,California,93703.20,3.09%,264720
1655,California,23980.57,8.05%,581160
1656,California,36806.95,27.52%,996733
1657,California,34151.62,0.74%,394395
1658,California,48658.91,71.45%,646448
1659,California,120415.68,51.21%,548827
1660,California,8464.20,97.39%,448045
1661,California,98463.76,8.27%,661626
1662,California,11557.77,56.33%,88883
1663,California,27396.28,5.46%,402914
1664,California,24185.37,12.82%,917134
1665,California,49250.25,50.48%,100058
1666,California,79085.65,98.16%,640363
1667,California,74696.48,54.96%,944302
1668,California,105543.69,70.68%,237432
1669,California,71649.62,23.55%,869897
1670,California,33306.21,68.96%,383575
1671,California,4839.97,41.80%,653936
1672,California,57239.04,40.50%,445342
1673,California,56836.46,89.67%,649704
1674,California,94000.25,92.56%,318777
1675,California,20307.12,64.98%,887270
1676,California,52869.22,36.69%,398404
1677,California,67449.21,18.91%,819498
1678,California,59723.70,30.97%,949060
1679,California,35491.21,69.99%,472239
1680,California,19050.83,0.49%,525077
1681,California,112335.99,4.58%,718515
1682,California,70463.46,23.30%,382665
1683,California,46424.78,76.08%,698597
1684,California,34823.98,43.22%,430067
1685,California,34936.13,61.48%,494212
1686,California,116720.47,44.06%,399411
1687,California,16621.12,62.26%,604655
1688,California,6370.37,15.35%,930034
1689,California,5852.74,62.73%,576479
1690,California,115450.41,99.01%,724712
1691,California,21270.84,15.85%,107051
1692,California,81797.34,99.89%,54735
1693,California,23652.00,80.57%,865661
1694,California,49885.69,76.56%,88207
1695,California,56219.43,42.74%,319244
1696,California,2186.40,22.65%,648
1697,California,93188.23,88.07%,52332
1698,California,50204.27,65.30%,975639
1699,California,108898.00,84.45%,969551
1700,California,65084.44,55.59%,952153
1701,California,58367.12,69.93%,261678
1702,California,94063.85,6.02%,345065
1703,California,116397.46,65.33%,679241
1704,California,54702.12,45.75%,279793
1705,California,58735.72,77.07%,414962
1706,California,6528.24,76.14%,24638
1707,California,106675.94,90.96%,463711
1708,California,32392.52,10.83%,112792
1709,California,95155.66,26.95%,556829
1710,California,37316.96,37.76%,597331
1711,California,105928.68,75.40%,402658
1712,California,75765.99,59.22%,692295
1713,California,111038.06,15.18%,726873
1714,California,12327.95,65.82%,589693
1715,California,17669.70,44.09%,992353
1716,California,75607.08,67.98%,71010
1717,California,76214.55,0.39%,851060
1718,California,57567.98,88.80%,257831
1719,California,119921.73,32.21%,949283
1720,California,97642.70,75.13%,89060
1721,California,52997.25,25.24%,752665
1722,California,2078.81,72.31%,418913
1723,California,86968.12,75.69%,126438
1724,California,18412.26,68.95%,95789
1725,California,105560.07,90.14%,961407
1726,California,18756.72,21.98%,504945
1727,California,75560.47,33.55%,924642
1728,California,42419.62,76.71%,382276
1729,California,112981.85,97.77%,489174
1730,California,98242.06,33.10%,610355
1731,California,116940.20,57.35%,711193
1732,California,3831.26,57.36%,251750
1733,California,97100.90,4.68%,574975
1734,California,7192.34,54.86%,835637
1735,California,70927.51,59.27%,563178
1736,California,63004.52,85.98%,102438
1737,California,108922.57,5.17%,981469
1738,California,75333.72,43.30%,653271
1739,California,5341.65,76.22%,771130
1740,California,58980.85,82.64%,56340
1741,California,108089.04,52.62%,852252
1742,California,36294.29,66.59%,21762
1743,California,76952.30,69.47%,587368
1744,California,122088.52,3.18%,392039
1745,California,100083.70,3.58%,302219
1746,California,77646.48,54.52%,381947
1747,California,112744.97,67.16%,299703
1748,California,51452.64,68.52%,819339
1749,California,116288.05,19.37%,572408
1750,California,93429.10,84.73%,330440
1751,California,16984.92,39.74%,839196
1752,California,15133.43,87.39%,505391
1753,California,21084.46,17.13%,46579
1754,California,11787.05,71.90%,566604
1755,California,90754.07,66.17%,560278
1756,California,10193.47,35.28%,892127
1757,California,53667.26,54.93%,629110
1758,California,75423.11,37.84%,408142
1759,California,92387.50,72.23%,675963
1760,California,58588.89,96.64%,300501
1761,California,36177.38,33.07%,744749
1762,California,98131.47,15.68%,713680
1763,California,44761.43,84.31%,380050
1764,California,405.97,28.31%,906509
1765,California,120364.40,45.23%,619746
1766,California,78575.12,92.87%,77290
1767,California,83516.09,9.61%,564539
1768,California,93999.37,71.32%,468483
1769,California,6613.17,4.21%,891368
1770,California,17160.61,33.77%,76633
1771,California,36680.33,71.87%,945329
1772,California,10379.51,97.34%,836515
1773,California,67903.72,6.50%,893602
1774,California,82659.01,20.21%,800071
1775,California,14859.17,10.27%,918296
1776,California,119603.99,46.91%,969355
1777,California,30581.60,63.89%,924736
1778,California,22411.84,7.36%,950201
1779,California,38380.48,66.41%,195634
1780,California,16967.14,30.10%,55929
1781,California,7799.51,43.80%,664527
1782,California,104014.71,70.11%,568020
1783,California,540.63,51.33%,40890
1784,California,18140.24,61.84%,912263
1785,California,58576.32,42.58%,46195
1786,California,81718.77,63.95%,125233
1787,California,54642.96,6.22%,127445
1788,California,31635.56,85.41%,972987
1789,California,89093.91,49.75%,703783
1790,California,52710.61,48.92%,888978
1791,California,16365.01,82.11%,699572
1792,California,27713.39,35.08%,533559
1793,California,39405.67,5.33%,485267
1794,California,36389.72,0.15%,348176
1795,California,16068.94,83.50%,728942
1796,California,67158.20,82.90%,620163
1797,California,12320.34,11.05%,918877
1798,California,15188.50,7.06%,584381
1799,California,21620.04,48.95%,258805
1800,California,111720.63,65.36%,121121
1801,California,81755.52,71.18%,319047
1802,California,85021.01,93.28%,641223
1803,California,14000.70,93.45%,65589
1804,California,63889.94,38.70%,344388
1805,California,14634.21,9.79%,518281
1806,California,62290.68,41.62%,532387
1807,California,31086.42,96.90%,45015
1808,California,24665.27,11.86%,60833
1809,California,69635.60,80.98%,431196
1810,California,86414.26,22.91%,262820
1811,California,103668.56,20.77%,241288
1812,California,56826.60,53.61%,828441
1813,California,24366.22,37.26%,412720
1814,California,30856.00,79.77%,41912
1815,California,111822.16,58.70%,624545
1816,California,39082.07,18.97%,633192
1817,California,36142.46,98.49%,209392
1818,California,72861.25,22.65%,993766
1819,California,32390.50,31.75%,282964
1820,California,11754.24,7.87%,728018
1821,California,45875.37,15.35%,228777
1822,California,9299.52,53.49%,890152
1823,California,21920.83,8.18%,287847
1824,California,13584.31,2.14%,899564
1825,California,60187.94,91.79%,344401
1826,California,91959.37,36.88%,721815
1827,California,30567.86,59.68%,46883
1828,California,36393.05,89.37%,828591
1829,California,36966.05,20.60%,636050
1830,California,23096.35,72.60%,533119
1831,California,120958.79,46.04%,18737
1832,California,86276.55,95.27%,572711
1833,California,89298.23,32.99%,421630
1834,California,122863.91,15.71%,103824
1835,California,83489.70,36.81%,505779
1836,California,102998.05,78.64%,801863
1837,California,119212.75,7.67%,62702
1838,California,43507.18,81.69%,12956
1839,California,43461.13,43.55%,352330
1840,California,81447.88,50.07%,435655
1841,California,75418.37,34.33%,287585
1842,California,112269.53,85.04%,532092
1843,California,94762.36,57.27%,422594
1844,California,19058.72,75.77%,572558
1845,California,78088.63,22.23%,178081
1846,California,116337.96,47.31%,742638
1847,California,66659.51,39.40%,763088
1848,California,33111.92,96.94%,663158
1849,California,60684.63,35.05%,738560
1850,California,71954.66,60.68%,632900
1851,California,120121.26,76.72%,6128
1852,California,33335.23,10.25%,868406
1853,California,45090.56,51.07%,15190
1854,California,12094.17,44.63%,871089
1855,California,58609.16,41.34%,40322
1856,California,80382.61,31.34%,361945
1857,California,60693.11,81.66%,504486
1858,California,97769.17,67.05%,29154
1859,California,58275.00,51.05%,484301
1860,California,71857.95,93.20%,906969
1861,California,8077.58,49.20%,562923
1862,California,94362.75,70.06%,445527
1863,California,70691.66,72.74%,224937
1864,California,77608.49,69.71%,5020
1865,California,53660.18,34.79%,494494
1866,California,25445.95,68.28%,224625
1867,California,17910.10,16.74%,787296
1868,California,27806.40,24.23%,993007
1869,California,39476.09,80.83%,847699
1870,California,51776.71,53.90%,262830
1871,California,100555.24,24.80%,531107
1872,California,58440.14,68.64%,296945
1873,California,51611.71,64.94%,72191
1874,California,112179.11,91.09%,596468
1875,California,78916.64,54.06%,113700
1876,California,58280.83,42.97%,687133
1877,California,71506.59,91.66%,873462
1878,California,96949.85,45.91%,692214
1879,California,36234.77,6.11%,25886
1880,California,53833.38,55.43%,926257
1881,California,60941.62,72.32%,173348
1882,California,27555.58,64.25%,308198
1883,California,31330.98,14.24%,233425
1884,California,100057.42,1.51%,862227
1885,California,8650.88,82.16%,856101
1886,California,18498.18,66.17%,113205
1887,California,55917.74,91.48%,540095
1888,California,104189.19,41.53%,971324
1889,California,107360.08,33.14%,419652
1890,California,31907.15,88.23%,340424
1891,California,14446.82,86.99%,698694
1892,California,63685.37,75.25%,508928
1893,California,86735.21,53.18%,444061
1894,California,99227.69,39.41%,996034
1895,California,56317.95,88.64%,473224
1896,California,33085.34,43.63%,498711
1897,California,90321.25,43.90%,140478
1898,California,52464.05,67.07%,456928
1899,California,79373.05,44.36%,157955
1900,California,15077.75,61.96%,727934
1901,California,100577.16,3.32%,76509
1902,California,83973.10,54.18%,749042
1903,California,38085.63,57.77%,850276
1904,California,46283.97,99.33%,290653
1905,California,50016.34,16.81%,289258
1906,California,32678.51,68.86%,717804
1907,California,13570.25,52.11%,70405
1908,California,46624.50,43.43%,160302
1909,California,74904.95,6.00%,539603
1910,California,55082.37,56.57%,621510
1911,California,51168.74,11.34%,976276
1912,California,29391.92,54.99%,778956
1913,California,33753.60,79.95%,720959
1914,California,66535.80,0.07%,581361
1915,California,12513.00,85.03%,256597
1916,California,67911.62,69.55%,929001
1917,California,29487.11,58.25%,895176
1918,California,92060.93,56.56%,821273
1919,California,4135.67,89.40%,352631
1920,California,20666.12,20.80%,769890
1921,California,35370.57,73.64%,81041
1922,California,14498.25,82.18%,55747
1923,California,55196.56,51.99%,708281
1924,California,81525.01,24.48%,7598
1925,California,88791.84,31.58%,656017
1926,California,99748.73,94.96%,33085
1927,California,5058.52,78.45%,32716
1928,California,48978.22,78.86%,338307
1929,California,63456.23,76.55%,795555
1930,California,94769.47,46.75%,515406
1931,California,114432.60,46.01%,102496
1932,California,31574.26,71.96%,209705
1933,California,67358.06,69.25%,206146
1934,California,72303.30,26.01%,560987
1935,California,21272.16,3.81%,639890
1936,California,36384.86,15.20%,428824
1937,California,12368.11,96.43%,822301
1938,California,65645.28,16.19%,61741
1939,California,78337.58,64.08%,997658
1940,California,109542.74,12.00%,700937
1941,California,54793.02,17.91%,250740
1942,California,28310.03,35.08%,13591
1943,California,58701.75,95.71%,166263
1944,California,96453.62,24.96%,78798
1945,California,60026.16,91.77%,602009
1946,California,17289.70,99.27%,370032
1947,California,3090.33,90.85%,32215
1948,California,8561.88,60.27%,475355
1949,California,63366.52,12.93%,806441
1950,California,72529.92,89.58%,44436
1951,California,90414.34,36.94%,757720
1952,California,21209.70,56.99%,446349
1953,California,95117.15,30.43%,996786
1954,California,72402.57,62.81%,25681
1955,California,18192.48,17.76%,912996
1956,California,14099.26,58.69%,646521
1957,California,74057.51,9.76%,521387
1958,California,102553.75,21.35%,407302
1959,California,76567.56,27.50%,721577
1960,California,27031.22,95.59%,28634
1961,California,114693.34,9.50%,32099
1962,California,65880.04,31.85%,127603
1963,California,114527.95,84.09%,664283
1964,California,19772.10,33.29%,562584
1965,California,8139.01,26.36%,468945
1966,California,103803.61,29.43%,279467
1967,California,63290.29,64.14%,369777
1968,California,23500.43,74.21%,469678
1969,California,94751.33,72.35%,450662
1970,California,78708.22,3.78%,856659
1971,California,31190.84,59.91%,886752
1972,California,38457.10,87.56%,241422
1973,California,27856.13,22.16%,466233
1974,California,27993.37,23.56%,266482
1975,California,3560.46,48.05%,743788
1976,California,34414.92,67.74%,854825
1977,California,44923.43,42.59%,581056
1978,California,67222.33,17.09%,558924
1979,California,55868.03,1.94%,652498
1980,California,100678.89,99.23%,689842
1981,California,116201.79,18.60%,448463
1982,California,43923.62,55.80%,741844
1983,California,121686.06,19.28%,220516
1984,California,90191.58,45.70%,905874
1985,California,64088.84,61.20%,69746
1986,California,76325.14,12.87%,782578
1987,California,87659.46,26.02%,638516
1988,California,113595.95,93.07%,829597
1989,California,62300.04,75.92%,3369
1990,California,79662.33,58.39%,978008
1991,California,122630.00,43.73%,601870
1992,California,102961.53,80.37%,484650
1993,California,113926.38,57.36%,350814
1994,California,115367.67,64.85%,680553
1995,California,54040.53,84.79%,688882
1996,California,26210.89,53.48%,556379
1997,California,85253.31,68.63%,141247
1998,California,50735.42,29.26%,202958
1999,California,117854.14,25.42%,487506
2000,California,18525.90,77.02%,476306
2001,California,120828.37,51.81%,975361
2002,California,48233.71,34.76%,376867
2003,California,3980.28,85.74%,20103
2004,California,16788.98,38.28%,669984
2005,California,91332.78,80.44%,7182
2006,California,55963.49,58.70%,428373
2007,California,52179.79,16.83%,829936
2008,California,112734.12,50.66%,855966
2009,California,6571.56,58.69%,522838
2010,California,86448.50,70.37%,363577
2011,California,80480.09,89.95%,675464
2012,California,27623.74,83.03%,712070
2013,California,12815.06,34.11%,430851
2014,California,35455.24,39.90%,61557
2015,California,122001.02,43.68%,812422
2016,California,118386.54,37.58%,217021
2017,California,99538.63,52.32%,294421
2018,California,410.65,10.13%,647057
2019,California,77201.09,55.92%,347858
2020,California,110339.87,19.03%,470525
2021,California,14597.56,25.56%,643181
2022,California,96625.09,71.89%,316047
